researcher_id,full_name,community,modal_for_l2,modal_for_l4,modal_institution,modal_country,name_gender
ur.011322307645.01,Guangqiang Li,779,Biomedical and Clinical Sciences,Epidemiology,Jinan University,China,Unknown
ur.01132231514.43,Antti Mäkitie,1,Biological Sciences,Genetics,Helsinki University Hospital,Finland,Male
ur.01132232440.40,Robert D. Phair,11,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,"Integrative Bioinformatics, Inc., Mountain View, CA, USA",United States,Male
ur.011322332304.01,Adam Finnemann,3,Health Sciences,Health Services and Systems,University of Amsterdam,Netherlands,Male
ur.011322337705.81,Guiping Hu,19,Psychology,Biological Psychology,Oklahoma State University,United States,Unknown
ur.011322443052.72,Terry Jianguo Zhang,962,Biomedical and Clinical Sciences,Clinical Sciences,Peking Union Medical College Hospital,China,Male
ur.011322444154.03,Marcus Jones,26,Biological Sciences,Allied Health and Rehabilitation Science,Regeneron Pharmaceuticals Inc,United States,Male
ur.011322515571.83,Xin Xin Jiang,506,Biomedical and Clinical Sciences,Epidemiology,Huashan Hospital,China,Female
ur.011322566610.43,Julie A Marsh,1,Biological Sciences,Genetics,University of Western Australia,Australia,Female
ur.01132271651.69,Joel M. Gelfand,6,Biological Sciences,Epidemiology,University of Pennsylvania,United States,Male
ur.01132275215.62,Hyunsun Park,11,Biomedical and Clinical Sciences,Clinical Sciences,Seoul National University,South Korea,Female
ur.011323024774.31,Mai Gutvilig,27,Health Sciences,Epidemiology,University of Helsinki,Finland,Female
ur.01132315657.69,Michael A. Arnold,2,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,University of Colorado Boulder,United States,Male
ur.01132316521.28,Gaurav Thareja,1,Biological Sciences,Epidemiology,Weill Cornell Medicine - Qatar,Qatar,Male
ur.011323246271.22,E. Meng Law,19,Biomedical and Clinical Sciences,Clinical Sciences,Monash University,Australia,Unknown
ur.011323347273.49,Jianmin Qiu,104,Biomedical and Clinical Sciences,Nutrition and Dietetics,Fujian Medical University,China,Unknown
ur.01132346455.38,Latarsha J. Carithers,6,Biological Sciences,Bioinformatics and Computational Biology,,,Female
ur.011323474772.76,Xiaojuan Shi,100,Biomedical and Clinical Sciences,Epidemiology,Ningxia Medical University,China,Female
ur.011323505665.75,F. Auld,4,Biological Sciences,Genetics,Forth Valley Royal Hospital,United Kingdom,Female
ur.011323524321.34,J T Raemoe,11,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Broad Institute,United States,Unknown
ur.01132353125.85,Jiannis Ragoussis,55,Biological Sciences,Genetics,McGill University,Canada,Male
ur.011323717767.68,Yuelan Gao,8,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Chinese University of Hong Kong,China,Unknown
ur.01132372152.96,Jussi Kauhanen,2,Biomedical and Clinical Sciences,Epidemiology,University of Eastern Finland,Finland,Male
ur.011323772304.48,Jonathan Ahern,3,Health Sciences,Biological Psychology,"University of California, San Diego",United States,Male
ur.011324073173.53,Daniel Redondo-Sánchez,2,Biomedical and Clinical Sciences,Nutrition and Dietetics,Andalusian School of Public Health,Spain,Male
ur.01132415141.08,Shabbir Moochhala,54,Biological Sciences,Epidemiology,University College London,United Kingdom,Male
ur.01132416145.24,Iris E. Jansen,10,Biological Sciences,Epidemiology,Amsterdam Neuroscience,Netherlands,Female
ur.01132424306.74,Alexa R. Shipman,13,Biomedical and Clinical Sciences,Clinical Sciences,Queen Alexandra Hospital,United Kingdom,Female
ur.011324351130.09,Natasha Parker,4,Biological Sciences,Epidemiology,Royal Alexandra Hospital,United Kingdom,Female
ur.01132435614.41,Qing Nie,9,Biomedical and Clinical Sciences,Ophthalmology and Optometry,"University of California, Irvine",United States,Female
ur.01132437277.25,Michael W. Nagle,1,Biological Sciences,Genetics,Pfizer Inc,United States,Male
ur.01132443014.98,Sven Nebelung,6,Information and Computing Sciences,Machine Learning,Universitätsklinikum Aachen,Germany,Male
ur.01132443042.93,Nathan R. Treff,52,Biological Sciences,Genetics,Genomic Prediction (United States),United States,Male
ur.011324436623.69,Halley S. Milleson,3,Biological Sciences,Genetics,"University of Maryland, College Park",United States,Female
ur.01132445440.26,Julia Liu,11,Biomedical and Clinical Sciences,Clinical Sciences,Morehouse School of Medicine,United States,Female
ur.01132446002.77,Mian Li,13,Biomedical and Clinical Sciences,Clinical Sciences,Ruijin Hospital,China,Male
ur.011324473361.38,Xiang Zou,32,Biomedical and Clinical Sciences,Clinical Sciences,Huashan Hospital,China,Unknown
ur.011324645227.60,Dan Dou,10,Biological Sciences,Genetics,University of Pennsylvania,United States,Male
ur.011324647736.91,Dabheoc Coleman,4,Biological Sciences,Epidemiology,Royal Blackburn Teaching Hospital,United Kingdom,Unknown
ur.01132466442.93,Emil V. Appel,1,Biological Sciences,Genetics,University of Copenhagen,Denmark,Male
ur.01132470517.62,Paula L. McClean,73,Biomedical and Clinical Sciences,Clinical Sciences,University of Ulster,United Kingdom,Female
ur.011324717155.98,M Fukuyama,11,Biomedical and Clinical Sciences,Epidemiology,The University of Tokyo,Japan,Male
ur.01132473221.28,Joseph Finkelstein,1647,Biomedical and Clinical Sciences,Neurosciences,Icahn School of Medicine at Mount Sinai,United States,Male
ur.01132477260.87,Lars V. Kessing,22,Biological Sciences,Clinical Sciences,Copenhagen University Hospital,Denmark,Male
ur.01132502704.16,Paul S. Nestadt,1,Biological Sciences,Biological Psychology,Johns Hopkins University,United States,Male
ur.01132504456.19,Hannah A. Pliner,10,Biological Sciences,Epidemiology,Brotman Baty Institute,United States,Female
ur.011325151416.15,Yinggang Chen,46,Biomedical and Clinical Sciences,Nutrition and Dietetics,Chinese Academy of Medical Sciences & Peking Union Medical College,China,Male
ur.011325175524.77,Zongju Hu,730,Health Sciences,Epidemiology,Fuyang People's Hospital,,Unknown
ur.01132520115.97,Noah Snyder-Mackler,15,Biological Sciences,Immunology,Arizona State University,United States,Male
ur.01132530134.70,Lifan Zhang,107,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Chinese Academy of Medical Sciences & Peking Union Medical College,China,Unknown
ur.01132535421.44,Frauke Degenhardt,1,Biomedical and Clinical Sciences,Epidemiology,Kiel University,Germany,Female
ur.01132536461.19,Lizanne J S Schweren,3,Biomedical and Clinical Sciences,Public Health,University Medical Center Groningen,Netherlands,Female
ur.011325433716.53,Hong Luo,31,Biomedical and Clinical Sciences,Epidemiology,Helmholtz Zentrum München,Germany,Female
ur.011325434160.37,Henry Robert Condon,11,Biological Sciences,Genetics,Vanderbilt University Medical Center,United States,Male
ur.01132547523.21,Jun Ma,61,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,State Key Laboratory of Oncology in South China,China,Male
ur.011325500361.76,Ayub Khan,378,Biomedical and Clinical Sciences,Clinical Sciences,Colgate University,United States,Male
ur.01132553527.10,Julio E. Villalon-Reina,3,Psychology,Biological Psychology,University of Southern California,United States,Male
ur.011325626725.46,Hui Fan,1035,Health Sciences,,Renmin Hospital of Wuhan University,China,Female
ur.01132566236.28,Richard D. Smith,20,Biological Sciences,Bioinformatics and Computational Biology,,,Male
ur.011325704570.21,Jasper P. Hof,17,Biological Sciences,Genetics,Radboud University Nijmegen Medical Centre,Netherlands,Male
ur.01132570623.55,Absalon Gutierrez,38,Biomedical and Clinical Sciences,Biochemistry and Cell Biology,The University of Texas Health Science Center at Houston,United States,Male
ur.011325715072.72,Giuseppe Giovanni Nardone,1,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,University of Trieste,Italy,Male
ur.01132571554.10,Martin Busch,1,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Jena University Hospital,Germany,Male
ur.01132572634.22,Arthur Grider,40,Health Sciences,Epidemiology,University of Georgia,United States,Male
ur.011325732335.63,Yanbo Yang,24,Biological Sciences,Genetics,Huazhong Agricultural University,China,Male
ur.011325736150.35,Min Li,407,Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences,Xiyuan Hospital,China,Female
ur.011326043745.20,Chunhong Yu,366,Biological Sciences,Biochemistry and Cell Biology,Central South University,China,Unknown
ur.01132610354.16,Seung Min Jung,11,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Catholic University of Korea,South Korea,Male
ur.01132611517.26,Cristina T Vicente,26,Biomedical and Clinical Sciences,Immunology,QIMR Berghofer Medical Research Institute,Australia,Female
ur.011326116426.75,Deqiang Zhang,787,Biomedical and Clinical Sciences,Clinical Sciences,Beijing Friendship Hospital,China,Male
ur.01132620261.24,Upasana Tayal,7,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,National Heart and Lung Institute,United Kingdom,Female
ur.011326252457.48,Daoqiang Zhang,3,Biomedical and Clinical Sciences,Biological Psychology,Nanjing University of Aeronautics and Astronautics,China,Unknown
ur.01132625664.44,I-Chieh Chen,52,Biological Sciences,Epidemiology,Taichung Veterans General Hospital,Taiwan,Unknown
ur.01132634071.72,Joylene E. Siland,1,Biological Sciences,Epidemiology,University Medical Center Groningen,Netherlands,Female
ur.011326353317.40,Yuxin Zhao,71,Health Sciences,Epidemiology,Zhejiang University,China,Female
ur.011326420214.00,Chufeng Gu,33,Health Sciences,Clinical Sciences,Shanghai Jiao Tong University,China,Male
ur.01132647725.77,Mark Lathrop,3,Health Sciences,Epidemiology,McGill University and Génome Québec Innovation Centre,Canada,Male
ur.011326507727.34,Liting Wu,118,Health Sciences,Health Services and Systems,Sun Yat-sen University,China,Female
ur.011326536602.52,Xin Wei,326,Biomedical and Clinical Sciences,Clinical Sciences,"Department of Ophthalmology, The People's Hospital of Tongliang District, Chongqing, China.",China,Female
ur.01132673226.58,Ekaterina Rogaeva,19,Psychology,Biological Psychology,University of Toronto,Canada,Female
ur.01132675706.17,Daniel Promislow,17,Biological Sciences,Genetics,University of Washington,United States,Male
ur.011326761444.41,S. E. Orme,417,Biomedical and Clinical Sciences,Clinical Sciences,University of East Anglia,United Kingdom,Unknown
ur.011326763572.68,Yonina Keschner,702,Biomedical and Clinical Sciences,Medical Biotechnology,Vor Biopharma Inc,United States,Female
ur.011326765312.71,Junhua Du,403,Health Sciences,Epidemiology,First Affiliated Hospital of Anhui Medical University,China,Unknown
ur.01132701047.85,Zhiwei Cao,880,Biomedical and Clinical Sciences,Immunology,Sheng Jing Hospital,China,Male
ur.011327021260.40,Marta Ríos-León,713,Biomedical and Clinical Sciences,Allied Health and Rehabilitation Science,Hospital Nacional de Parapléjicos de Toledo,Spain,Female
ur.011327043525.29,K. Manso,4,Biological Sciences,Genetics,Stoke Mandeville Hospital,United Kingdom,Female
ur.011327116235.35,Hui Song,40,Biomedical and Clinical Sciences,Clinical Sciences,Affiliated Hospital of Qingdao University,China,Female
ur.011327127226.46,Kyungbeom Kim,20,Biomedical and Clinical Sciences,Health Services and Systems,Georgia Institute of Technology,United States,Unknown
ur.011327142164.02,Alexander Pil Henriksen,22,Biological Sciences,Genetics,University of Copenhagen,Denmark,Male
ur.01132715706.47,Adam S. Butterworth,5,Biological Sciences,Genetics,University of Cambridge,United Kingdom,Male
ur.011327165745.39,Haijie Li,24,Biological Sciences,Genetics,Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology,China,Unknown
ur.01132717046.08,Shan-Yan Gao,46,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Sheng Jing Hospital,China,Unknown
ur.011327200077.50,Wei Chen,35,Biomedical and Clinical Sciences,Clinical Sciences,First Affiliated Hospital of Xi'an Jiaotong University,China,Male
ur.01132731547.69,Peggy Sekula,1,Biomedical and Clinical Sciences,Clinical Sciences,University of Freiburg,Germany,Female
ur.01132732103.52,Rik Schrijvers,20,Biomedical and Clinical Sciences,Biochemistry and Cell Biology,KU Leuven,Belgium,Male
ur.011327364770.66,Weiran Chen,18,Health Sciences,Epidemiology,Zhejiang University,China,Unknown
ur.011327402545.78,Chunxia Qiao,59,Biomedical and Clinical Sciences,Clinical Sciences,West China Hospital of Sichuan University,China,Female
ur.011327422066.50,Reda A. Kamroui,10,Biomedical and Clinical Sciences,Biological Psychology,Laboratoire Bordelais de Recherche en Informatique,France,Female
ur.01132746774.69,Kai Ma,29,Biomedical and Clinical Sciences,Epidemiology,State Key Laboratory of Cardiovascular Disease,China,Unknown
ur.011327544430.04,Senkai Xu,50,Biomedical and Clinical Sciences,Clinical Sciences,Guangzhou Medical University,China,Unknown
ur.011327557315.83,Clauirton Siebra,1653,"Agricultural, Veterinary and Food Sciences",Biomedical Engineering,Federal University of Paraíba,Brazil,Unknown
ur.01132757475.60,Amanda B. Spurdle,2,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,QIMR Berghofer Medical Research Institute,Australia,Female
ur.01132760407.34,Grace Chan,15,Biomedical and Clinical Sciences,Biological Psychology,University of Connecticut Health Center,United States,Female
ur.011327631443.69,Tao Wang,30,Biological Sciences,Epidemiology,Northwestern Polytechnical University,China,Male
ur.011327632406.16,Xiangju Hu,16,Biomedical and Clinical Sciences,Clinical Sciences,"Department for Chronic and Noncommunicable Disease Control and Prevention, Fujian Provincial Center for Disease Control and Prevention, Fuzhou, 350012, Fujian, China",China,Unknown
ur.011327646627.91,Marissa R. Keever-Keigher,6,Biological Sciences,Epidemiology,Children’s Mercy Research Institute,United States,Female
ur.01132765043.25,Martin McKibbin,8,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Leeds Teaching Hospitals NHS Trust,United Kingdom,Male
ur.011327661602.32,Carmen Castillo,2,Biological Sciences,Genetics,Institut d'Investigació Biomédica de Bellvitge,Spain,Female
ur.011327664547.14,Alexandr A Khrapitchev,3,Biomedical and Clinical Sciences,,University of Oxford,United Kingdom,Male
ur.01132771637.54,Peter T Schmidt,20,Biomedical and Clinical Sciences,Clinical Sciences,Karolinska University Hospital,Sweden,Male
ur.01133001232.24,Jin Chai,32,Health Sciences,Epidemiology,Army Medical University,China,Female
ur.011330077300.90,Anne Rydland,10,Biomedical and Clinical Sciences,Biological Psychology,University of Oslo,Norway,Female
ur.01133016414.69,Sun Hee Yim,35,Biological Sciences,Bioinformatics and Computational Biology,Harvard University,United States,Male
ur.01133030564.09,Ulla Sovio,30,Biological Sciences,Genetics,University of Cambridge,United Kingdom,Female
ur.011330353006.50,Yining He,57,Health Sciences,Epidemiology,Shanghai Jiao Tong University,China,Unknown
ur.011330370321.65,Qing Wang,15,Biomedical and Clinical Sciences,Biological Psychology,Washington University in St. Louis,United States,Female
ur.01133041517.07,J. Kimble Frazer,147,Biological Sciences,Genetics,University of Oklahoma Health Sciences Center,United States,Male
ur.01133050266.43,Michael Williams Marcus,20,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,University of Liverpool,United Kingdom,Male
ur.011330524571.49,Dashan Zheng,37,Health Sciences,Biological Psychology,Sun Yat-sen University,China,Male
ur.011330525020.80,Xing-Ming Xie,1259,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,First Affiliated Hospital of Guangzhou Medical University,China,Unknown
ur.01133056067.04,Qu Tian,14,Biomedical and Clinical Sciences,Clinical Sciences,National Institute on Aging,United States,Female
ur.011330621450.96,Lanfang Chen,786,Biomedical and Clinical Sciences,Clinical Sciences,First Affiliated Hospital of Wannan Medical College,China,Unknown
ur.011330626343.76,Zhi Wen,363,Biomedical and Clinical Sciences,Clinical Sciences,"Department of Urology, Langzhong People’s Hospital, Langzhong, China, ;",China,Male
ur.011330663356.27,Federica Nobile,53,Health Sciences,Epidemiology,Azienda Sanitaria Locale Roma 3,Italy,Female
ur.011330737761.46,Chaoqun Liu,50,Health Sciences,Epidemiology,Guangxi Medical University,China,Unknown
ur.011330752761.11,Dong Ki Kim,56,Biomedical and Clinical Sciences,Clinical Sciences,Seoul National University,South Korea,Male
ur.01133076023.28,Thomas W. Winkler,1,Biological Sciences,Genetics,University of Regensburg,Germany,Male
ur.011330766645.80,D. Skinner,4,Biological Sciences,Genetics,Princess Royal Hospital,United Kingdom,Unknown
ur.01133101352.23,Jonathan Davitte,5,Biological Sciences,Genetics,GlaxoSmithKline LLC,United States,Male
ur.011331016162.96,Robin J. M. Franklin,5,Biological Sciences,Genetics,University of Cambridge,United Kingdom,Male
ur.011331054577.30,R. M. Summers,7,Information and Computing Sciences,Machine Learning,National Institutes of Health Clinical Center,United States,Male
ur.01133110444.29,Changwei Zheng,326,Biomedical and Clinical Sciences,Clinical Sciences,Chongqing Medical University,China,Male
ur.011331225017.55,Fannar Theodors,22,Biological Sciences,Genetics,Decode Genetics ehf,Iceland,Male
ur.011331246217.31,Penny Gowland,3,Psychology,Biological Psychology,University of Nottingham,United Kingdom,Female
ur.011331314315.50,Steven Froelich,26,Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences,Biomarin Pharmaceutical Inc,United States,Male
ur.01133134070.31,E Amaro,17,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Hospital Israelita Albert Einstein,Brazil,Male
ur.01133135465.05,Sergi Papiol,15,Psychology,Genetics,Ludwig-Maximilians-Universität München,Germany,Male
ur.01133144301.00,Svati H. Shah,6,Biological Sciences,Genetics,Duke University,United States,Female
ur.01133150142.08,Peter Goldblatt,9,Health Sciences,Public Health,University College London,United Kingdom,Male
ur.011331504503.09,Julia Vlachaki Walker,1,Biomedical and Clinical Sciences,Medical Physiology,King's College London,United Kingdom,Female
ur.011331526155.80,Chen Chen,16,Biomedical and Clinical Sciences,Epidemiology,University of Michigan-Ann Arbor,China,Male
ur.011331555657.42,Bharati Jadhav,10,Biological Sciences,Genetics,Icahn School of Medicine at Mount Sinai,United States,Female
ur.01133157101.90,Zengai Chen,10,Environmental Sciences,Epidemiology,Shanghai Jiao Tong University,China,Unknown
ur.011331625256.70,Guanyu Jiang,475,Biomedical and Clinical Sciences,Immunology,Wuxi People's Hospital,China,Unknown
ur.011331641117.01,Xisong Liang,81,Health Sciences,Epidemiology,Xiangya Hospital Central South University,China,Male
ur.011331655056.55,Bilun Jin,42,Biomedical and Clinical Sciences,Dentistry,Xi'an Jiaotong University,China,Unknown
ur.01133171523.79,Lance Turtle,4,Biomedical and Clinical Sciences,Genetics,University of Liverpool,United Kingdom,Male
ur.011331734313.72,Shuyue Zhao,39,Biomedical and Clinical Sciences,Nutrition and Dietetics,Zhejiang Chinese Medical University,China,Female
ur.01133200305.78,Dominique Arveiler,1,Biological Sciences,Genetics,University of Strasbourg,France,Female
ur.01133201124.47,Amanda Varnava,7,Biological Sciences,Genetics,Imperial College London,United Kingdom,Female
ur.011332126031.24,Hongwei Liu,81,Biological Sciences,Genetics,Xiangya Hospital Central South University,China,Unknown
ur.01133225722.08,Jeremy Gollub,5,Biological Sciences,Genetics,Thermo Fisher Scientific Inc,United States,Male
ur.01133243663.61,Alexandra Zhernakova,1,Biological Sciences,Genetics,University Medical Center Groningen,Netherlands,Female
ur.01133244314.48,Anna Salvarsdottir,22,Biological Sciences,Genetics,National University Hospital of Iceland,Iceland,Female
ur.011332446357.50,Matthew Hickman,15,Biomedical and Clinical Sciences,Biological Psychology,University of Bristol,United Kingdom,Male
ur.01133247747.67,Matthew A. Scult,1,Biological Sciences,Genetics,Duke University,United States,Male
ur.011332565731.18,Bai-Xue Han,42,Biomedical and Clinical Sciences,Clinical Sciences,Soochow University,China,Unknown
ur.01133260263.30,Johnathan Cooper-Knock,8,Biological Sciences,Bioinformatics and Computational Biology,University of Sheffield,United Kingdom,Male
ur.011332614702.88,Joseph Jankovic,10,Biomedical and Clinical Sciences,Clinical Sciences,Baylor College of Medicine,United States,Male
ur.011332626117.65,Ma Jixuan,1747,Biomedical and Clinical Sciences,Epidemiology,Tongji Medical College of Huazhong University of Science and Technology,China,Female
ur.01133266374.42,Alan C Kwan,6,Biomedical and Clinical Sciences,Epidemiology,Cedars-Sinai Medical Center,United States,Male
ur.01133266642.49,Miriam K. Forbes,25,Health Sciences,Applied and Developmental Psychology,Macquarie University,Australia,Female
ur.011332673350.58,Tuomo Kiiskinen,1,Biological Sciences,Genetics,Institute for Molecular Medicine Finland,Finland,Male
ur.01133270323.41,Anders Sönnerborg,53,Biological Sciences,Biochemistry and Cell Biology,Karolinska University Hospital,Sweden,Male
ur.01133275762.14,Pedro M. Gordaliza,7,Information and Computing Sciences,Machine Learning,Centre d'Imagerie BioMedicale,Switzerland,Male
ur.01133300507.51,Fosca Quarti-Trevano,2,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,University of Milano-Bicocca,Italy,Female
ur.011333062436.47,Liang Zhu,28,Health Sciences,Public Health,Chinese Academy of Medical Sciences & Peking Union Medical College,China,Male
ur.01133307242.30,Simon Lord,23,Biomedical and Clinical Sciences,Health Services and Systems,Churchill Hospital,United Kingdom,Male
ur.01133310204.84,Ryo Asaoka,530,Biomedical and Clinical Sciences,Ophthalmology and Optometry,The University of Tokyo,Japan,Male
ur.01133311277.31,Philip E Stuart,14,Biological Sciences,Epidemiology,University of Michigan-Ann Arbor,United States,Male
ur.011333135737.08,Pritam Dey,1256,Mathematical Sciences,Statistics,Duke University,United States,Male
ur.01133313700.45,Onkar Prakash Kulkarni,10,Biomedical and Clinical Sciences,Clinical Sciences,,,Male
ur.011333175421.00,Greg S. Corrado,17,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Google LLC,United States,Male
ur.011333251734.85,Zorayr Arzumanyan,1,Biological Sciences,Genetics,Harbor–UCLA Medical Center,United States,Unknown
ur.01133327040.64,Kathryn Williams,27,Biomedical and Clinical Sciences,Nutrition and Dietetics,The University of Sydney,Australia,Female
ur.01133331766.21,Chao Wang,18,Health Sciences,Health Services and Systems,Zhejiang University,China,Male
ur.011333333533.11,Yingdong Han,449,Biomedical and Clinical Sciences,Clinical Sciences,Chinese Academy of Medical Sciences & Peking Union Medical College,China,Unknown
ur.01133334246.35,Xiaoyun Tan,542,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Guangzhou Medical University,China,Female
ur.011333350552.44,Minmin Wu,1171,Biological Sciences,Epidemiology,Heilongjiang University of Chinese Medicine,China,Female
ur.01133340163.08,James Butler,6,Biomedical and Clinical Sciences,Epidemiology,Alnylam Pharmaceuticals Inc,United States,Male
ur.011333453236.41,Samuel Helgesson,53,Biomedical and Clinical Sciences,Clinical Sciences,Uppsala University,Sweden,Male
ur.011333505663.13,Guiliang Tang,806,Biomedical and Clinical Sciences,Epidemiology,Shaoxing People's Hospital,China,Male
ur.01133352213.57,Charles Breeze,2,Biological Sciences,Genetics,National Cancer Institute,United States,Male
ur.011333525433.33,Nastassya Horlava,5,Health Sciences,Health Services and Systems,Helmholtz Zentrum München,Germany,Unknown
ur.011333527615.51,Chad Abresch,37,Environmental Sciences,Epidemiology,University of Nebraska Medical Center,United States,Male
ur.011333541607.36,Jiangbo Zhu,65,Health Sciences,Clinical Sciences,Sichuan University,China,Unknown
ur.01133355772.46,J. Ranjit Arnold,9,Biomedical and Clinical Sciences,Health Services and Systems,Glenfield Hospital,United Kingdom,Male
ur.01133361720.88,Yuqi Zeng,84,Biomedical and Clinical Sciences,Public Health,Fujian Medical University,China,Female
ur.011333716714.52,ROBERT BEAUMONT,14,Biomedical and Clinical Sciences,Clinical Sciences,Phillips Exeter Academy,United Kingdom,Male
ur.011334044167.40,Jiarui Tang,19,Psychology,Biological Psychology,University of North Carolina at Chapel Hill,United States,Male
ur.01133405422.43,Erik Pettersson,1,Biological Sciences,Biological Psychology,Karolinska Institutet,Sweden,Male
ur.01133405472.63,Clemence M. Canivet,21,Biomedical and Clinical Sciences,Clinical Sciences,Centre Hospitalier Universitaire d'Angers,France,Female
ur.011334070023.92,Hailuan Zeng,18,Biomedical and Clinical Sciences,Epidemiology,Fudan University,China,Unknown
ur.011334127353.86,Iain Turnbull,23,Health Sciences,Epidemiology,University of Oxford,United Kingdom,Male
ur.01133416165.53,Avinash Ramu,1,Biological Sciences,Epidemiology,Washington University in St. Louis,United States,Male
ur.011334347477.40,Wataru Uchida,150,Information and Computing Sciences,Data Management and Data Science,Juntendo University,Japan,Male
ur.011334370623.42,Lisa K. Straub,15,Biomedical and Clinical Sciences,Biological Psychology,Virginia Commonwealth University,United States,Female
ur.011334377477.40,Chunlan Song,864,Health Sciences,Epidemiology,Zhengzhou Children's Hospital,China,Female
ur.01133462632.56,Janet Chou,28,Biological Sciences,Biochemistry and Cell Biology,Boston Children's Hospital,United States,Female
ur.011334675511.33,Fang Qin,672,Biomedical and Clinical Sciences,Pharmacology and Pharmaceutical Sciences,First Affiliated Hospital of GuangXi Medical University,China,Unknown
ur.011334701277.08,Eric P. Moll van Charante,27,Biomedical and Clinical Sciences,Nutrition and Dietetics,University of Amsterdam,Netherlands,Male
ur.01133470735.27,Jill A. Fahrner,22,Biological Sciences,Genetics,Johns Hopkins University,United States,Female
ur.01133476633.35,Barney Scholefield,4,Biological Sciences,Epidemiology,Birmingham Children's Hospital,United Kingdom,Male
ur.011335002231.69,Min Zhong,58,Health Sciences,Biological Psychology,Shanghai Jiao Tong University,China,Female
ur.01133501347.28,Rajan Jain,11,Biomedical and Clinical Sciences,Medical Biotechnology,University of Pennsylvania,United States,Male
ur.011335017011.26,Yuping Zou,126,Biomedical and Clinical Sciences,Immunology,Harbin Medical University,China,Unknown
ur.011335030737.12,Qiuhua Yu,29,Biomedical and Clinical Sciences,Nutrition and Dietetics,Peking Union Medical College Hospital,China,Unknown
ur.01133504674.12,Shanshan Li,1,Biomedical and Clinical Sciences,Clinical Sciences,Boston University,United States,Female
ur.01133506352.08,Mohamed-Ramzi Temanni,8,Biological Sciences,Genetics,Sidra Medical and Research Center,Qatar,Male
ur.011335117371.34,Pengfei Wei,46,Biomedical and Clinical Sciences,Nutrition and Dietetics,Shenzhen University Health Science Center,China,Male
ur.011335124240.43,Flore Castellan,152,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,New York University,United States,Female
ur.011335130240.05,He Gao,1,Biological Sciences,Genetics,Imperial College London,United Kingdom,Male
ur.011335155331.41,S Khoury,7,Biomedical and Clinical Sciences,Clinical Sciences,"City St George’s, University of London",United Kingdom,Unknown
ur.011335176521.33,Yifan Wang,34,Biomedical and Clinical Sciences,Epidemiology,Tianjin Medical University,China,Male
ur.011335210103.29,Joel Defo,3,Biomedical and Clinical Sciences,Clinical Sciences,University of Cape Town,South Africa,Male
ur.011335216720.38,Laura Boddy,29,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Royal Marsden NHS Foundation Trust,United Kingdom,Female
ur.011335334367.37,A Nickerson,12,Biological Sciences,Genetics,Eli Lilly and Co Ltd,United Kingdom,Male
ur.011335344660.14,David Haddad,17,"History, Heritage and Archaeology",Anthropology,"University of California, Davis",United States,Male
ur.011335436222.90,Vicky Wai-Ki Chan,16,Biomedical and Clinical Sciences,Epidemiology,Hong Kong Polytechnic University,China,Female
ur.011335442440.50,Daniel E. Askeland-Gjerde,3,Psychology,Biological Psychology,Oslo University Hospital,Norway,Male
ur.011335477667.42,Yangfan Cheng,93,Biomedical and Clinical Sciences,Nutrition and Dietetics,West China Hospital of Sichuan University,China,Unknown
ur.011335520327.35,Federica Tozzi,1,Biological Sciences,Genetics,"Brain Sciences Department, Stremble Ventures, Limassol, Cyprus",Cyprus,Female
ur.011335543333.78,Meijia Wang,18,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Huadong Hospital,China,Unknown
ur.011335631225.13,Emil M. Pedersen,1,Health Sciences,Epidemiology,Aarhus University,Denmark,Male
ur.011335646662.94,Krishna Pawan Punuru,26,Biological Sciences,Genetics,Regeneron Pharmaceuticals Inc,United States,Unknown
ur.01133572106.62,Stephan Ripke,1,Biological Sciences,Genetics,Broad Institute,Germany,Male
ur.011335747257.49,Jianyu Li,19,Biomedical and Clinical Sciences,Biological Psychology,West China Hospital of Sichuan University,China,Unknown
