community,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
1,6891,University Medical Center Groningen,136,0.019735887389348426,"University Medical Center Groningen (136, 2.0%); Erasmus MC (126, 1.8%); Leiden University Medical Center (125, 1.8%)"
2,3646,National Cancer Institute,184,0.050466264399341744,"National Cancer Institute (184, 5.0%); International Agency for Research on Cancer (79, 2.2%); Washington University in St. Louis (73, 2.0%)"
3,3236,Massachusetts General Hospital,170,0.05253399258343634,"Massachusetts General Hospital (170, 5.3%); Broad Institute (122, 3.8%); University of North Carolina at Chapel Hill (122, 3.8%)"
4,2581,University of Oslo,119,0.046106160402944595,"University of Oslo (119, 4.6%); Wellcome Centre for Integrative Neuroimaging (67, 2.6%); King's College London (65, 2.5%)"
5,2201,Princess Royal Hospital,36,0.01635620172648796,"Princess Royal Hospital (36, 1.6%); University of Oxford (35, 1.6%); University of Siena (31, 1.4%)"
6,1963,University College London,142,0.07233825776872134,"University College London (142, 7.2%); King's College London (133, 6.8%); Imperial College London (108, 5.5%)"
7,1754,Regeneron Pharmaceuticals Inc,270,0.15393386545039908,"Regeneron Pharmaceuticals Inc (270, 15.4%); University of Cambridge (139, 7.9%); AstraZeneca UK Ltd (65, 3.7%)"
8,1748,University of Pennsylvania,198,0.11327231121281464,"University of Pennsylvania (198, 11.3%); Universitätsklinikum Aachen (86, 4.9%); Icahn School of Medicine at Mount Sinai (59, 3.4%)"
9,1609,University of Exeter,167,0.10379117464263518,"University of Exeter (167, 10.4%); University of Bristol (144, 8.9%); MRC Integrative Epidemiology Unit (122, 7.6%)"
10,1599,National Institutes of Health,68,0.04252657911194497,"National Institutes of Health (68, 4.3%); Queen Mary University of London (55, 3.4%); Stanford University (54, 3.4%)"
11,1580,University of Leeds,84,0.053164556962025315,"University of Leeds (84, 5.3%); University of Melbourne (49, 3.1%); Chinese University of Hong Kong (48, 3.0%)"
12,1564,University of Glasgow,222,0.14194373401534527,"University of Glasgow (222, 14.2%); King's College London (178, 11.4%); University of Edinburgh (136, 8.7%)"
13,1240,Zhejiang University,86,0.06935483870967742,"Zhejiang University (86, 6.9%); First Affiliated Hospital of Chongqing Medical University (53, 4.3%); King's College London (48, 3.9%)"
14,1219,Southern Medical University,178,0.14602132895816242,"Southern Medical University (178, 14.6%); Zhejiang University (129, 10.6%); Soochow University (63, 5.2%)"
15,1209,Yale University,79,0.065343258891646,"Yale University (79, 6.5%); Virginia Commonwealth University (45, 3.7%); Massachusetts General Hospital (43, 3.6%)"
16,1160,Harvard University,97,0.08362068965517241,"Harvard University (97, 8.4%); University of California, Los Angeles (73, 6.3%); Google LLC (67, 5.8%)"
17,1139,University of Leicester,89,0.0781387181738367,"University of Leicester (89, 7.8%); Unknown institution (36, 3.2%); National Heart and Lung Institute (33, 2.9%)"
18,1058,University of Oxford,270,0.2551984877126654,"University of Oxford (270, 25.5%); Peking University (93, 8.8%); University of Edinburgh (51, 4.8%)"
19,988,University of Pennsylvania,99,0.10020242914979757,"University of Pennsylvania (99, 10.0%); University of Wisconsin-Madison (55, 5.6%); University of North Carolina at Chapel Hill (45, 4.6%)"
20,894,Decode Genetics ehf,127,0.14205816554809844,"Decode Genetics ehf (127, 14.2%); University of Copenhagen (76, 8.5%); Rigshospitalet (66, 7.4%)"
21,838,Tianjin Medical University,95,0.11336515513126491,"Tianjin Medical University (95, 11.3%); Uppsala University (49, 5.8%); Sheng Jing Hospital (48, 5.7%)"
22,772,Stanford University,235,0.30440414507772023,"Stanford University (235, 30.4%); The University of Texas at Austin (35, 4.5%); University of Southern California (28, 3.6%)"
23,744,Institut Universitaire de Cardiologie et de Pneumologie de Québec,49,0.06586021505376344,"Institut Universitaire de Cardiologie et de Pneumologie de Québec (49, 6.6%); McMaster University (43, 5.8%); Rigshospitalet (38, 5.1%)"
