component_rank,component,component_size,component_class
835,1209,5,Small (2-5)
836,1213,5,Small (2-5)
837,1217,5,Small (2-5)
838,1226,5,Small (2-5)
839,1233,5,Small (2-5)
840,1234,5,Small (2-5)
841,1237,5,Small (2-5)
842,1239,5,Small (2-5)
843,1249,5,Small (2-5)
844,1254,5,Small (2-5)
845,1257,5,Small (2-5)
846,1258,5,Small (2-5)
847,1259,5,Small (2-5)
848,1260,5,Small (2-5)
849,1261,5,Small (2-5)
850,1262,5,Small (2-5)
851,1264,5,Small (2-5)
852,1266,5,Small (2-5)
853,1275,5,Small (2-5)
854,1278,5,Small (2-5)
855,1280,5,Small (2-5)
856,1281,5,Small (2-5)
857,1285,5,Small (2-5)
858,1293,5,Small (2-5)
859,1295,5,Small (2-5)
860,1297,5,Small (2-5)
861,1304,5,Small (2-5)
862,1309,5,Small (2-5)
863,1313,5,Small (2-5)
864,1315,5,Small (2-5)
865,1329,5,Small (2-5)
866,1333,5,Small (2-5)
867,1338,5,Small (2-5)
868,1345,5,Small (2-5)
869,1353,5,Small (2-5)
870,1355,5,Small (2-5)
871,1365,5,Small (2-5)
872,1367,5,Small (2-5)
873,1369,5,Small (2-5)
874,1373,5,Small (2-5)
875,1383,5,Small (2-5)
876,1410,5,Small (2-5)
877,1421,5,Small (2-5)
878,1423,5,Small (2-5)
879,1437,5,Small (2-5)
880,1448,5,Small (2-5)
881,1457,5,Small (2-5)
882,1485,5,Small (2-5)
883,1492,5,Small (2-5)
884,1496,5,Small (2-5)
885,1507,5,Small (2-5)
886,1511,5,Small (2-5)
887,1514,5,Small (2-5)
888,1518,5,Small (2-5)
889,1528,5,Small (2-5)
890,1535,5,Small (2-5)
891,1565,5,Small (2-5)
892,1585,5,Small (2-5)
893,1593,5,Small (2-5)
894,1645,5,Small (2-5)
895,13,4,Small (2-5)
896,24,4,Small (2-5)
897,26,4,Small (2-5)
898,45,4,Small (2-5)
899,53,4,Small (2-5)
900,83,4,Small (2-5)
901,84,4,Small (2-5)
902,86,4,Small (2-5)
903,91,4,Small (2-5)
904,101,4,Small (2-5)
905,108,4,Small (2-5)
906,127,4,Small (2-5)
907,130,4,Small (2-5)
908,131,4,Small (2-5)
909,149,4,Small (2-5)
910,165,4,Small (2-5)
911,167,4,Small (2-5)
912,180,4,Small (2-5)
913,183,4,Small (2-5)
914,209,4,Small (2-5)
915,228,4,Small (2-5)
916,229,4,Small (2-5)
917,231,4,Small (2-5)
918,233,4,Small (2-5)
919,235,4,Small (2-5)
920,247,4,Small (2-5)
921,290,4,Small (2-5)
922,300,4,Small (2-5)
923,302,4,Small (2-5)
924,310,4,Small (2-5)
925,325,4,Small (2-5)
926,340,4,Small (2-5)
927,356,4,Small (2-5)
928,357,4,Small (2-5)
929,358,4,Small (2-5)
930,367,4,Small (2-5)
931,377,4,Small (2-5)
932,389,4,Small (2-5)
933,394,4,Small (2-5)
934,428,4,Small (2-5)
935,431,4,Small (2-5)
936,444,4,Small (2-5)
937,447,4,Small (2-5)
938,452,4,Small (2-5)
939,456,4,Small (2-5)
940,473,4,Small (2-5)
941,474,4,Small (2-5)
942,479,4,Small (2-5)
943,481,4,Small (2-5)
944,498,4,Small (2-5)
945,511,4,Small (2-5)
946,512,4,Small (2-5)
947,517,4,Small (2-5)
948,519,4,Small (2-5)
949,520,4,Small (2-5)
950,525,4,Small (2-5)
951,528,4,Small (2-5)
952,544,4,Small (2-5)
953,550,4,Small (2-5)
954,561,4,Small (2-5)
955,567,4,Small (2-5)
956,572,4,Small (2-5)
957,576,4,Small (2-5)
958,602,4,Small (2-5)
959,612,4,Small (2-5)
960,621,4,Small (2-5)
961,625,4,Small (2-5)
962,630,4,Small (2-5)
963,632,4,Small (2-5)
964,635,4,Small (2-5)
965,638,4,Small (2-5)
966,644,4,Small (2-5)
967,645,4,Small (2-5)
968,656,4,Small (2-5)
969,664,4,Small (2-5)
970,683,4,Small (2-5)
971,684,4,Small (2-5)
972,699,4,Small (2-5)
973,700,4,Small (2-5)
974,723,4,Small (2-5)
975,726,4,Small (2-5)
976,730,4,Small (2-5)
977,734,4,Small (2-5)
978,743,4,Small (2-5)
979,752,4,Small (2-5)
980,753,4,Small (2-5)
981,770,4,Small (2-5)
982,771,4,Small (2-5)
983,773,4,Small (2-5)
984,789,4,Small (2-5)
985,794,4,Small (2-5)
986,800,4,Small (2-5)
987,811,4,Small (2-5)
988,815,4,Small (2-5)
989,828,4,Small (2-5)
990,834,4,Small (2-5)
991,845,4,Small (2-5)
992,854,4,Small (2-5)
993,860,4,Small (2-5)
994,861,4,Small (2-5)
995,864,4,Small (2-5)
996,872,4,Small (2-5)
997,887,4,Small (2-5)
998,890,4,Small (2-5)
999,916,4,Small (2-5)
1000,922,4,Small (2-5)
1001,934,4,Small (2-5)
1002,936,4,Small (2-5)
1003,937,4,Small (2-5)
1004,944,4,Small (2-5)
1005,947,4,Small (2-5)
1006,948,4,Small (2-5)
1007,949,4,Small (2-5)
1008,950,4,Small (2-5)
1009,952,4,Small (2-5)
1010,959,4,Small (2-5)
1011,982,4,Small (2-5)
1012,990,4,Small (2-5)
1013,992,4,Small (2-5)
1014,1004,4,Small (2-5)
1015,1013,4,Small (2-5)
1016,1034,4,Small (2-5)
1017,1036,4,Small (2-5)
1018,1053,4,Small (2-5)
1019,1067,4,Small (2-5)
1020,1071,4,Small (2-5)
1021,1073,4,Small (2-5)
1022,1077,4,Small (2-5)
1023,1089,4,Small (2-5)
1024,1096,4,Small (2-5)
1025,1102,4,Small (2-5)
1026,1105,4,Small (2-5)
1027,1107,4,Small (2-5)
1028,1111,4,Small (2-5)
1029,1120,4,Small (2-5)
1030,1129,4,Small (2-5)
1031,1137,4,Small (2-5)
1032,1155,4,Small (2-5)
1033,1157,4,Small (2-5)
1034,1162,4,Small (2-5)
1035,1163,4,Small (2-5)
1036,1164,4,Small (2-5)
1037,1171,4,Small (2-5)
1038,1174,4,Small (2-5)
1039,1175,4,Small (2-5)
1040,1177,4,Small (2-5)
1041,1187,4,Small (2-5)
1042,1189,4,Small (2-5)
1043,1197,4,Small (2-5)
1044,1200,4,Small (2-5)
1045,1204,4,Small (2-5)
1046,1207,4,Small (2-5)
1047,1208,4,Small (2-5)
1048,1215,4,Small (2-5)
1049,1235,4,Small (2-5)
1050,1238,4,Small (2-5)
1051,1240,4,Small (2-5)
1052,1244,4,Small (2-5)
1053,1245,4,Small (2-5)
1054,1248,4,Small (2-5)
1055,1253,4,Small (2-5)
1056,1256,4,Small (2-5)
1057,1263,4,Small (2-5)
1058,1271,4,Small (2-5)
1059,1276,4,Small (2-5)
1060,1283,4,Small (2-5)
1061,1286,4,Small (2-5)
1062,1298,4,Small (2-5)
1063,1322,4,Small (2-5)
1064,1324,4,Small (2-5)
1065,1331,4,Small (2-5)
1066,1335,4,Small (2-5)
1067,1339,4,Small (2-5)
1068,1340,4,Small (2-5)
1069,1350,4,Small (2-5)
1070,1354,4,Small (2-5)
1071,1360,4,Small (2-5)
1072,1362,4,Small (2-5)
1073,1368,4,Small (2-5)
1074,1374,4,Small (2-5)
1075,1380,4,Small (2-5)
1076,1385,4,Small (2-5)
1077,1389,4,Small (2-5)
1078,1390,4,Small (2-5)
1079,1391,4,Small (2-5)
1080,1392,4,Small (2-5)
1081,1396,4,Small (2-5)
1082,1398,4,Small (2-5)
1083,1400,4,Small (2-5)
1084,1402,4,Small (2-5)
1085,1404,4,Small (2-5)
1086,1419,4,Small (2-5)
1087,1422,4,Small (2-5)
1088,1428,4,Small (2-5)
1089,1429,4,Small (2-5)
1090,1431,4,Small (2-5)
1091,1439,4,Small (2-5)
1092,1449,4,Small (2-5)
1093,1451,4,Small (2-5)
1094,1464,4,Small (2-5)
1095,1465,4,Small (2-5)
1096,1471,4,Small (2-5)
1097,1474,4,Small (2-5)
1098,1479,4,Small (2-5)
1099,1482,4,Small (2-5)
1100,1483,4,Small (2-5)
1101,1490,4,Small (2-5)
1102,1505,4,Small (2-5)
1103,1519,4,Small (2-5)
1104,1523,4,Small (2-5)
1105,1542,4,Small (2-5)
1106,1546,4,Small (2-5)
1107,1549,4,Small (2-5)
1108,1550,4,Small (2-5)
1109,1551,4,Small (2-5)
1110,1554,4,Small (2-5)
1111,1556,4,Small (2-5)
1112,1576,4,Small (2-5)
1113,1676,4,Small (2-5)
1114,1692,4,Small (2-5)
1115,18,3,Small (2-5)
1116,22,3,Small (2-5)
1117,30,3,Small (2-5)
1118,44,3,Small (2-5)
1119,61,3,Small (2-5)
1120,72,3,Small (2-5)
1121,93,3,Small (2-5)
1122,97,3,Small (2-5)
1123,106,3,Small (2-5)
1124,114,3,Small (2-5)
1125,128,3,Small (2-5)
1126,133,3,Small (2-5)
1127,141,3,Small (2-5)
1128,144,3,Small (2-5)
1129,162,3,Small (2-5)
1130,169,3,Small (2-5)
1131,184,3,Small (2-5)
1132,212,3,Small (2-5)
1133,217,3,Small (2-5)
1134,219,3,Small (2-5)
1135,220,3,Small (2-5)
1136,223,3,Small (2-5)
1137,240,3,Small (2-5)
1138,245,3,Small (2-5)
1139,249,3,Small (2-5)
1140,304,3,Small (2-5)
1141,315,3,Small (2-5)
1142,320,3,Small (2-5)
1143,343,3,Small (2-5)
1144,348,3,Small (2-5)
1145,352,3,Small (2-5)
1146,359,3,Small (2-5)
1147,360,3,Small (2-5)
1148,365,3,Small (2-5)
1149,382,3,Small (2-5)
1150,396,3,Small (2-5)
1151,399,3,Small (2-5)
1152,405,3,Small (2-5)
1153,418,3,Small (2-5)
1154,423,3,Small (2-5)
1155,424,3,Small (2-5)
1156,425,3,Small (2-5)
1157,442,3,Small (2-5)
1158,450,3,Small (2-5)
1159,460,3,Small (2-5)
1160,491,3,Small (2-5)
1161,495,3,Small (2-5)
1162,497,3,Small (2-5)
1163,551,3,Small (2-5)
1164,562,3,Small (2-5)
1165,565,3,Small (2-5)
1166,579,3,Small (2-5)
1167,594,3,Small (2-5)
1168,598,3,Small (2-5)
1169,605,3,Small (2-5)
1170,607,3,Small (2-5)
1171,611,3,Small (2-5)
1172,617,3,Small (2-5)
1173,622,3,Small (2-5)
1174,642,3,Small (2-5)
1175,647,3,Small (2-5)
1176,659,3,Small (2-5)
1177,661,3,Small (2-5)
1178,663,3,Small (2-5)
1179,666,3,Small (2-5)
1180,667,3,Small (2-5)
1181,669,3,Small (2-5)
1182,677,3,Small (2-5)
1183,678,3,Small (2-5)
1184,706,3,Small (2-5)
1185,754,3,Small (2-5)
1186,758,3,Small (2-5)
1187,772,3,Small (2-5)
1188,780,3,Small (2-5)
1189,781,3,Small (2-5)
1190,782,3,Small (2-5)
1191,784,3,Small (2-5)
1192,788,3,Small (2-5)
1193,791,3,Small (2-5)
1194,793,3,Small (2-5)
1195,798,3,Small (2-5)
1196,807,3,Small (2-5)
1197,819,3,Small (2-5)
1198,848,3,Small (2-5)
1199,852,3,Small (2-5)
1200,859,3,Small (2-5)
1201,862,3,Small (2-5)
1202,863,3,Small (2-5)
1203,865,3,Small (2-5)
1204,871,3,Small (2-5)
1205,883,3,Small (2-5)
1206,885,3,Small (2-5)
1207,897,3,Small (2-5)
1208,902,3,Small (2-5)
1209,904,3,Small (2-5)
1210,910,3,Small (2-5)
1211,914,3,Small (2-5)
1212,917,3,Small (2-5)
1213,939,3,Small (2-5)
1214,969,3,Small (2-5)
1215,970,3,Small (2-5)
1216,977,3,Small (2-5)
1217,986,3,Small (2-5)
1218,1044,3,Small (2-5)
1219,1049,3,Small (2-5)
1220,1052,3,Small (2-5)
1221,1060,3,Small (2-5)
1222,1061,3,Small (2-5)
1223,1062,3,Small (2-5)
1224,1082,3,Small (2-5)
1225,1087,3,Small (2-5)
1226,1095,3,Small (2-5)
1227,1106,3,Small (2-5)
1228,1112,3,Small (2-5)
1229,1113,3,Small (2-5)
1230,1116,3,Small (2-5)
1231,1130,3,Small (2-5)
1232,1134,3,Small (2-5)
1233,1138,3,Small (2-5)
1234,1140,3,Small (2-5)
1235,1145,3,Small (2-5)
1236,1152,3,Small (2-5)
1237,1167,3,Small (2-5)
1238,1168,3,Small (2-5)
1239,1170,3,Small (2-5)
1240,1184,3,Small (2-5)
1241,1190,3,Small (2-5)
1242,1192,3,Small (2-5)
1243,1195,3,Small (2-5)
1244,1196,3,Small (2-5)
1245,1210,3,Small (2-5)
1246,1212,3,Small (2-5)
1247,1214,3,Small (2-5)
1248,1218,3,Small (2-5)
1249,1219,3,Small (2-5)
1250,1228,3,Small (2-5)
1251,1229,3,Small (2-5)
1252,1241,3,Small (2-5)
1253,1242,3,Small (2-5)
1254,1243,3,Small (2-5)
1255,1265,3,Small (2-5)
1256,1272,3,Small (2-5)
1257,1273,3,Small (2-5)
1258,1279,3,Small (2-5)
1259,1287,3,Small (2-5)
1260,1290,3,Small (2-5)
1261,1292,3,Small (2-5)
1262,1301,3,Small (2-5)
1263,1306,3,Small (2-5)
1264,1308,3,Small (2-5)
1265,1311,3,Small (2-5)
1266,1314,3,Small (2-5)
1267,1316,3,Small (2-5)
1268,1319,3,Small (2-5)
1269,1323,3,Small (2-5)
1270,1327,3,Small (2-5)
1271,1332,3,Small (2-5)
1272,1337,3,Small (2-5)
1273,1346,3,Small (2-5)
1274,1349,3,Small (2-5)
1275,1357,3,Small (2-5)
1276,1358,3,Small (2-5)
1277,1371,3,Small (2-5)
1278,1376,3,Small (2-5)
1279,1378,3,Small (2-5)
1280,1381,3,Small (2-5)
1281,1384,3,Small (2-5)
1282,1395,3,Small (2-5)
1283,1409,3,Small (2-5)
1284,1415,3,Small (2-5)
1285,1416,3,Small (2-5)
1286,1424,3,Small (2-5)
1287,1426,3,Small (2-5)
1288,1430,3,Small (2-5)
1289,1435,3,Small (2-5)
1290,1436,3,Small (2-5)
1291,1443,3,Small (2-5)
1292,1450,3,Small (2-5)
1293,1454,3,Small (2-5)
1294,1455,3,Small (2-5)
1295,1466,3,Small (2-5)
1296,1468,3,Small (2-5)
1297,1477,3,Small (2-5)
1298,1478,3,Small (2-5)
1299,1493,3,Small (2-5)
1300,1495,3,Small (2-5)
1301,1498,3,Small (2-5)
1302,1501,3,Small (2-5)
1303,1513,3,Small (2-5)
1304,1516,3,Small (2-5)
1305,1522,3,Small (2-5)
1306,1530,3,Small (2-5)
1307,1533,3,Small (2-5)
1308,1534,3,Small (2-5)
1309,1537,3,Small (2-5)
1310,1538,3,Small (2-5)
1311,1539,3,Small (2-5)
1312,1541,3,Small (2-5)
1313,1543,3,Small (2-5)
1314,1553,3,Small (2-5)
1315,1555,3,Small (2-5)
1316,1557,3,Small (2-5)
1317,1568,3,Small (2-5)
1318,1571,3,Small (2-5)
1319,1572,3,Small (2-5)
1320,1581,3,Small (2-5)
1321,1590,3,Small (2-5)
1322,1591,3,Small (2-5)
1323,1592,3,Small (2-5)
1324,1596,3,Small (2-5)
1325,1597,3,Small (2-5)
1326,1604,3,Small (2-5)
1327,1606,3,Small (2-5)
1328,1607,3,Small (2-5)
1329,1609,3,Small (2-5)
1330,1611,3,Small (2-5)
1331,1613,3,Small (2-5)
1332,1618,3,Small (2-5)
1333,1621,3,Small (2-5)
1334,1632,3,Small (2-5)
1335,1653,3,Small (2-5)
1336,1658,3,Small (2-5)
1337,1663,3,Small (2-5)
1338,1679,3,Small (2-5)
1339,1680,3,Small (2-5)
1340,1687,3,Small (2-5)
1341,1693,3,Small (2-5)
1342,1697,3,Small (2-5)
1343,9,2,Small (2-5)
1344,34,2,Small (2-5)
1345,49,2,Small (2-5)
1346,73,2,Small (2-5)
1347,90,2,Small (2-5)
1348,107,2,Small (2-5)
1349,139,2,Small (2-5)
1350,170,2,Small (2-5)
1351,171,2,Small (2-5)
1352,188,2,Small (2-5)
1353,192,2,Small (2-5)
1354,204,2,Small (2-5)
1355,210,2,Small (2-5)
1356,213,2,Small (2-5)
1357,252,2,Small (2-5)
1358,256,2,Small (2-5)
1359,280,2,Small (2-5)
1360,317,2,Small (2-5)
1361,326,2,Small (2-5)
1362,370,2,Small (2-5)
1363,375,2,Small (2-5)
1364,381,2,Small (2-5)
1365,441,2,Small (2-5)
1366,476,2,Small (2-5)
1367,480,2,Small (2-5)
1368,488,2,Small (2-5)
1369,509,2,Small (2-5)
1370,514,2,Small (2-5)
1371,523,2,Small (2-5)
1372,542,2,Small (2-5)
1373,547,2,Small (2-5)
1374,553,2,Small (2-5)
1375,588,2,Small (2-5)
1376,601,2,Small (2-5)
1377,606,2,Small (2-5)
1378,633,2,Small (2-5)
1379,639,2,Small (2-5)
1380,658,2,Small (2-5)
1381,682,2,Small (2-5)
1382,696,2,Small (2-5)
1383,707,2,Small (2-5)
1384,712,2,Small (2-5)
1385,718,2,Small (2-5)
1386,750,2,Small (2-5)
1387,777,2,Small (2-5)
1388,783,2,Small (2-5)
1389,801,2,Small (2-5)
1390,802,2,Small (2-5)
1391,804,2,Small (2-5)
1392,812,2,Small (2-5)
1393,814,2,Small (2-5)
1394,825,2,Small (2-5)
1395,832,2,Small (2-5)
1396,833,2,Small (2-5)
1397,839,2,Small (2-5)
1398,847,2,Small (2-5)
1399,884,2,Small (2-5)
1400,888,2,Small (2-5)
1401,889,2,Small (2-5)
1402,891,2,Small (2-5)
1403,900,2,Small (2-5)
1404,908,2,Small (2-5)
1405,919,2,Small (2-5)
1406,957,2,Small (2-5)
1407,962,2,Small (2-5)
1408,968,2,Small (2-5)
1409,971,2,Small (2-5)
1410,972,2,Small (2-5)
1411,975,2,Small (2-5)
1412,985,2,Small (2-5)
1413,989,2,Small (2-5)
1414,995,2,Small (2-5)
1415,997,2,Small (2-5)
1416,1005,2,Small (2-5)
1417,1039,2,Small (2-5)
1418,1047,2,Small (2-5)
1419,1055,2,Small (2-5)
1420,1057,2,Small (2-5)
1421,1059,2,Small (2-5)
1422,1069,2,Small (2-5)
1423,1074,2,Small (2-5)
1424,1091,2,Small (2-5)
1425,1092,2,Small (2-5)
1426,1099,2,Small (2-5)
1427,1110,2,Small (2-5)
1428,1117,2,Small (2-5)
1429,1121,2,Small (2-5)
1430,1124,2,Small (2-5)
1431,1126,2,Small (2-5)
1432,1136,2,Small (2-5)
1433,1139,2,Small (2-5)
1434,1142,2,Small (2-5)
1435,1144,2,Small (2-5)
1436,1146,2,Small (2-5)
1437,1150,2,Small (2-5)
1438,1154,2,Small (2-5)
1439,1159,2,Small (2-5)
1440,1160,2,Small (2-5)
1441,1169,2,Small (2-5)
1442,1179,2,Small (2-5)
1443,1188,2,Small (2-5)
1444,1220,2,Small (2-5)
1445,1224,2,Small (2-5)
1446,1252,2,Small (2-5)
1447,1268,2,Small (2-5)
1448,1294,2,Small (2-5)
1449,1305,2,Small (2-5)
1450,1307,2,Small (2-5)
1451,1334,2,Small (2-5)
1452,1341,2,Small (2-5)
1453,1342,2,Small (2-5)
1454,1352,2,Small (2-5)
1455,1363,2,Small (2-5)
1456,1364,2,Small (2-5)
1457,1366,2,Small (2-5)
1458,1375,2,Small (2-5)
1459,1377,2,Small (2-5)
1460,1379,2,Small (2-5)
1461,1382,2,Small (2-5)
1462,1387,2,Small (2-5)
1463,1399,2,Small (2-5)
1464,1403,2,Small (2-5)
1465,1405,2,Small (2-5)
1466,1406,2,Small (2-5)
1467,1407,2,Small (2-5)
1468,1411,2,Small (2-5)
1469,1412,2,Small (2-5)
1470,1414,2,Small (2-5)
1471,1418,2,Small (2-5)
1472,1427,2,Small (2-5)
1473,1432,2,Small (2-5)
1474,1433,2,Small (2-5)
1475,1441,2,Small (2-5)
1476,1442,2,Small (2-5)
1477,1444,2,Small (2-5)
1478,1445,2,Small (2-5)
1479,1452,2,Small (2-5)
1480,1453,2,Small (2-5)
1481,1456,2,Small (2-5)
1482,1461,2,Small (2-5)
1483,1469,2,Small (2-5)
1484,1472,2,Small (2-5)
1485,1473,2,Small (2-5)
1486,1475,2,Small (2-5)
1487,1480,2,Small (2-5)
1488,1486,2,Small (2-5)
1489,1488,2,Small (2-5)
1490,1499,2,Small (2-5)
1491,1500,2,Small (2-5)
1492,1502,2,Small (2-5)
1493,1508,2,Small (2-5)
1494,1510,2,Small (2-5)
1495,1515,2,Small (2-5)
1496,1521,2,Small (2-5)
1497,1525,2,Small (2-5)
1498,1527,2,Small (2-5)
1499,1529,2,Small (2-5)
1500,1532,2,Small (2-5)
1501,1536,2,Small (2-5)
1502,1540,2,Small (2-5)
1503,1544,2,Small (2-5)
1504,1547,2,Small (2-5)
1505,1548,2,Small (2-5)
1506,1552,2,Small (2-5)
1507,1558,2,Small (2-5)
1508,1561,2,Small (2-5)
1509,1562,2,Small (2-5)
1510,1563,2,Small (2-5)
1511,1569,2,Small (2-5)
1512,1579,2,Small (2-5)
1513,1580,2,Small (2-5)
1514,1582,2,Small (2-5)
1515,1583,2,Small (2-5)
1516,1586,2,Small (2-5)
1517,1587,2,Small (2-5)
1518,1594,2,Small (2-5)
1519,1599,2,Small (2-5)
1520,1601,2,Small (2-5)
1521,1603,2,Small (2-5)
1522,1608,2,Small (2-5)
1523,1614,2,Small (2-5)
1524,1615,2,Small (2-5)
1525,1616,2,Small (2-5)
1526,1617,2,Small (2-5)
1527,1620,2,Small (2-5)
1528,1622,2,Small (2-5)
1529,1623,2,Small (2-5)
1530,1624,2,Small (2-5)
1531,1627,2,Small (2-5)
1532,1628,2,Small (2-5)
1533,1630,2,Small (2-5)
1534,1635,2,Small (2-5)
1535,1636,2,Small (2-5)
1536,1639,2,Small (2-5)
1537,1640,2,Small (2-5)
1538,1641,2,Small (2-5)
1539,1642,2,Small (2-5)
1540,1644,2,Small (2-5)
1541,1646,2,Small (2-5)
1542,1652,2,Small (2-5)
1543,1654,2,Small (2-5)
1544,1664,2,Small (2-5)
1545,1665,2,Small (2-5)
1546,1667,2,Small (2-5)
1547,1674,2,Small (2-5)
1548,1681,2,Small (2-5)
1549,1685,2,Small (2-5)
1550,1689,2,Small (2-5)
1551,1690,2,Small (2-5)
1552,1694,2,Small (2-5)
1553,1705,2,Small (2-5)
1554,1707,2,Small (2-5)
1555,1709,2,Small (2-5)
1556,1710,2,Small (2-5)
1557,1713,2,Small (2-5)
1558,1717,2,Small (2-5)
1559,1718,2,Small (2-5)
1560,15,1,Isolate
1561,52,1,Isolate
1562,208,1,Isolate
1563,232,1,Isolate
1564,281,1,Isolate
1565,342,1,Isolate
1566,345,1,Isolate
1567,369,1,Isolate
1568,437,1,Isolate
1569,484,1,Isolate
1570,535,1,Isolate
1571,563,1,Isolate
1572,584,1,Isolate
1573,587,1,Isolate
1574,593,1,Isolate
1575,596,1,Isolate
1576,735,1,Isolate
1577,739,1,Isolate
1578,837,1,Isolate
1579,855,1,Isolate
1580,940,1,Isolate
1581,942,1,Isolate
1582,945,1,Isolate
1583,954,1,Isolate
1584,973,1,Isolate
1585,987,1,Isolate
1586,1002,1,Isolate
1587,1011,1,Isolate
1588,1025,1,Isolate
1589,1026,1,Isolate
1590,1029,1,Isolate
1591,1033,1,Isolate
1592,1040,1,Isolate
1593,1058,1,Isolate
1594,1064,1,Isolate
1595,1086,1,Isolate
1596,1104,1,Isolate
1597,1108,1,Isolate
1598,1141,1,Isolate
1599,1161,1,Isolate
1600,1186,1,Isolate
1601,1216,1,Isolate
1602,1227,1,Isolate
1603,1231,1,Isolate
1604,1232,1,Isolate
1605,1250,1,Isolate
1606,1274,1,Isolate
1607,1277,1,Isolate
1608,1282,1,Isolate
1609,1288,1,Isolate
1610,1299,1,Isolate
1611,1300,1,Isolate
1612,1320,1,Isolate
1613,1326,1,Isolate
1614,1328,1,Isolate
1615,1351,1,Isolate
1616,1356,1,Isolate
1617,1359,1,Isolate
1618,1361,1,Isolate
1619,1372,1,Isolate
1620,1386,1,Isolate
1621,1393,1,Isolate
1622,1394,1,Isolate
1623,1397,1,Isolate
1624,1408,1,Isolate
1625,1417,1,Isolate
1626,1438,1,Isolate
1627,1440,1,Isolate
1628,1446,1,Isolate
1629,1447,1,Isolate
1630,1460,1,Isolate
1631,1462,1,Isolate
1632,1463,1,Isolate
1633,1467,1,Isolate
1634,1476,1,Isolate
1635,1487,1,Isolate
1636,1497,1,Isolate
1637,1503,1,Isolate
1638,1504,1,Isolate
1639,1506,1,Isolate
1640,1509,1,Isolate
1641,1512,1,Isolate
1642,1517,1,Isolate
1643,1520,1,Isolate
1644,1524,1,Isolate
1645,1526,1,Isolate
1646,1531,1,Isolate
1647,1545,1,Isolate
1648,1560,1,Isolate
1649,1564,1,Isolate
1650,1566,1,Isolate
1651,1567,1,Isolate
1652,1570,1,Isolate
1653,1573,1,Isolate
1654,1574,1,Isolate
1655,1575,1,Isolate
1656,1577,1,Isolate
1657,1578,1,Isolate
1658,1584,1,Isolate
1659,1588,1,Isolate
1660,1589,1,Isolate
1661,1595,1,Isolate
1662,1600,1,Isolate
1663,1602,1,Isolate
1664,1605,1,Isolate
1665,1610,1,Isolate
1666,1612,1,Isolate
1667,1619,1,Isolate
1668,1625,1,Isolate
1669,1626,1,Isolate
1670,1629,1,Isolate
1671,1631,1,Isolate
1672,1633,1,Isolate
1673,1634,1,Isolate
1674,1637,1,Isolate
1675,1638,1,Isolate
1676,1643,1,Isolate
1677,1647,1,Isolate
1678,1648,1,Isolate
1679,1649,1,Isolate
1680,1650,1,Isolate
1681,1651,1,Isolate
1682,1655,1,Isolate
1683,1656,1,Isolate
1684,1657,1,Isolate
1685,1659,1,Isolate
1686,1660,1,Isolate
1687,1661,1,Isolate
1688,1662,1,Isolate
1689,1666,1,Isolate
1690,1668,1,Isolate
1691,1669,1,Isolate
1692,1670,1,Isolate
1693,1671,1,Isolate
1694,1672,1,Isolate
1695,1673,1,Isolate
1696,1675,1,Isolate
1697,1677,1,Isolate
1698,1678,1,Isolate
1699,1682,1,Isolate
1700,1683,1,Isolate
1701,1684,1,Isolate
1702,1686,1,Isolate
1703,1688,1,Isolate
1704,1691,1,Isolate
1705,1695,1,Isolate
1706,1698,1,Isolate
1707,1699,1,Isolate
1708,1700,1,Isolate
1709,1701,1,Isolate
1710,1702,1,Isolate
1711,1703,1,Isolate
1712,1704,1,Isolate
1713,1706,1,Isolate
1714,1708,1,Isolate
1715,1711,1,Isolate
1716,1712,1,Isolate
1717,1714,1,Isolate
1718,1715,1,Isolate
1719,1716,1,Isolate
1720,1719,1,Isolate
1721,1720,1,Isolate
1722,1721,1,Isolate
1723,1722,1,Isolate
1724,1723,1,Isolate
1725,1724,1,Isolate
1726,1725,1,Isolate
1727,1726,1,Isolate
1728,1727,1,Isolate
1729,1728,1,Isolate
1730,1729,1,Isolate
1731,1730,1,Isolate
1732,1731,1,Isolate
1733,1732,1,Isolate
1734,1733,1,Isolate
