community,n_authors,mean_ukb_h_index,median_ukb_papers,female_name_share,modal_for_l2,modal_for_l4,modal_institution,modal_country,author_share,cumulative_author_share,top_topics,top_institutions
354,9,0.0,1.0,16.666666666666668,Biological Sciences,Genetics,Cleveland Clinic,United States,0.012998830105290524,90.5772924881206,Genetics (100%),Cleveland Clinic (78%); Herbert Irving Comprehensive Cancer Center (22%)
355,9,0.0,1.0,100.0,Health Sciences,Epidemiology,First Hospital of China Medical University,China,0.012998830105290524,90.5902913182259,Epidemiology (100%),First Hospital of China Medical University (100%)
356,9,1.0,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,First Hospital of China Medical University,China,0.012998830105290524,90.60329014833118,Cardiovascular Medicine and Haematology (100%),First Hospital of China Medical University (100%)
357,9,1.0,1.0,50.0,Psychology,Biological Psychology,University of Arkansas for Medical Sciences,United States,0.012998830105290524,90.61628897843647,Biological Psychology (100%),University of Arkansas for Medical Sciences (88%); Universidade de São Paulo (12%)
358,9,1.0,1.0,50.0,Biomedical and Clinical Sciences,Clinical Sciences,Newcastle University,United Kingdom,0.012998830105290524,90.62928780854176,Clinical Sciences (100%),Newcastle University (44%); Royal Victoria Infirmary (22%); Harvard University (11%)
359,9,1.0,1.0,0.0,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Xi'an Jiaotong University,China,0.012998830105290524,90.64228663864705,Medical Biochemistry and Metabolomics (100%),Xi'an Jiaotong University (78%); Second Affiliated Hospital of Xi'an Jiaotong University (22%)
360,9,0.4444444444444444,1.0,50.0,Health Sciences,Epidemiology,Sichuan Peoples Hospital of Sichuan Academy of Medical Sciences,China,0.012998830105290524,90.65528546875234,Epidemiology (67%); Cardiovascular Medicine and Haematology (33%),Sichuan Peoples Hospital of Sichuan Academy of Medical Sciences (56%); University of Electronic Science and Technology of China (33%); Sichuan Academy of Medical Sciences & Sichuan Provincial People's Hospital (11%)
361,9,1.0,2.0,50.0,Biomedical and Clinical Sciences,Medical Physiology,"University of California, Los Angeles",United States,0.012998830105290524,90.66828429885763,Medical Physiology (100%),"University of California, Los Angeles (44%); Duke University (33%); Medical University of South Carolina (22%)"
362,9,1.0,1.0,25.0,Biomedical and Clinical Sciences,Biomedical Engineering,University of Southampton,United Kingdom,0.012998830105290524,90.68128312896292,Biomedical Engineering (100%),University of Southampton (78%); AIT Austrian Institute of Technology GmbH (11%); Nikon X Tek Systems Ltd (11%)
363,9,1.0,1.0,0.0,Biological Sciences,Genetics,Taipei Medical University,Taiwan,0.012998830105290524,90.6942819590682,Genetics (100%),"Taipei Medical University (56%); Hanyang University (22%); Institute of Biomedical Sciences, Academia Sinica (11%)"
364,9,0.7777777777777778,1.0,0.0,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Zhejiang University,China,0.012998830105290524,90.7072807891735,Medical Biochemistry and Metabolomics (67%); Ophthalmology and Optometry (33%),Zhejiang University (100%)
365,9,1.0,1.0,0.0,Biological Sciences,Genetics,Nanchang University,China,0.012998830105290524,90.72027961927878,Genetics (100%),Nanchang University (67%); Central South University (22%); First Affiliated Hospital of Nanchang University (11%)
366,9,1.0,2.0,0.0,Health Sciences,Health Services and Systems,Ada Health GmbH,Germany,0.012998830105290524,90.73327844938407,Health Services and Systems (100%),Ada Health GmbH (89%); University Hospital Carl Gustav Carus (11%)
367,9,0.2222222222222222,1.0,0.0,Biological Sciences,Epidemiology,First Affiliated Hospital of Anhui Medical University,China,0.012998830105290524,90.74627727948936,Epidemiology (100%),First Affiliated Hospital of Anhui Medical University (100%)
368,9,0.4444444444444444,1.0,50.0,Biomedical and Clinical Sciences,Clinical Sciences,Second Hospital of Anhui Medical University,China,0.012998830105290524,90.75927610959465,Clinical Sciences (56%); Nutrition and Dietetics (44%),Second Hospital of Anhui Medical University (100%)
369,9,0.0,1.0,0.0,Biological Sciences,Epidemiology,中山大学附属第三医院耳鼻咽喉-头颈外科，广州 510630,,0.012998830105290524,90.77227493969994,Epidemiology (100%),中山大学附属第三医院耳鼻咽喉-头颈外科，广州 510630 (100%)
370,9,0.5555555555555556,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Huadong Hospital,China,0.012998830105290524,90.78527376980523,Clinical Sciences (67%); Biochemistry and Cell Biology (33%),Huadong Hospital (89%); Shanghai Jiao Tong University (11%)
371,9,0.0,1.0,0.0,Biological Sciences,Bioinformatics and Computational Biology,First Affiliated Hospital of Zhengzhou University,China,0.012998830105290524,90.79827259991052,Bioinformatics and Computational Biology (100%),First Affiliated Hospital of Zhengzhou University (78%); Nanjing Medical University (11%); Sixth Medical Center of PLA General Hospital (11%)
372,9,1.3333333333333333,2.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,First Affiliated Hospital of Guangzhou University of Chinese Medicine,China,0.012998830105290524,90.81127143001581,Clinical Sciences (89%); Genetics (11%),"First Affiliated Hospital of Guangzhou University of Chinese Medicine (33%); Guangzhou University of Chinese Medicine (33%); Hongdu traditional Chinese Medicine Hospital, Nanchang, Jiangxi, China (11%)"
373,9,0.7777777777777778,1.0,0.0,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,Zhejiang Chinese Medical University,China,0.012998830105290524,90.8242702601211,Medical Biochemistry and Metabolomics (100%),Zhejiang Chinese Medical University (89%); Sun Yat-sen University (11%)
374,9,1.0,1.0,100.0,Biological Sciences,Epidemiology,First Hospital of Jilin University,China,0.012998830105290524,90.83726909022639,Epidemiology (100%),First Hospital of Jilin University (100%)
375,9,1.0,2.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Affiliated Hospital of North Sichuan Medical College,China,0.012998830105290524,90.85026792033167,Clinical Sciences (100%),"Affiliated Hospital of North Sichuan Medical College (89%); Department of Urology, Langzhong People’s Hospital, Langzhong, China, ; (11%)"
376,9,0.0,2.0,100.0,Biological Sciences,Genetics,Peking University First Hospital,China,0.012998830105290524,90.86326675043696,Genetics (67%); Oncology and Carcinogenesis (33%),Peking University First Hospital (78%); Peking University (22%)
377,9,1.0,1.0,0.0,Biological Sciences,,Anhui Medical University,China,0.012998830105290524,90.87626558054225,,Anhui Medical University (44%); Chaohu Hospital of Anhui Medical University (33%); First Affiliated Hospital of Anhui Medical University (11%)
378,9,1.0,1.0,0.0,Health Sciences,Epidemiology,Shaoxing University,China,0.012998830105290524,90.88926441064754,Epidemiology (100%),Shaoxing University (33%); Zhejiang University (33%); Shaoxing People's Hospital (22%)
379,9,1.0,1.0,55.55555555555556,Biological Sciences,Genetics,Amsterdam Neuroscience,Netherlands,0.012998830105290524,90.90226324075283,Genetics (100%),Amsterdam Neuroscience (56%); Murdoch Children's Research Institute (22%); Amsterdam University Medical Centers (11%)
380,9,1.0,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Peking University,China,0.012998830105290524,90.91526207085812,Clinical Sciences (100%),Peking University (67%); Guangzhou Medical University (11%); Suzhou Guangji Hospital (11%)
381,9,0.0,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Sun Yat-sen University,China,0.012998830105290524,90.92826090096341,Clinical Sciences (100%),Sun Yat-sen University (89%); Des Moines University (11%)
382,9,1.0,1.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Union Hospital Tongji Medical College Huazhong University of Science and Technology,China,0.012998830105290524,90.9412597310687,Cardiovascular Medicine and Haematology (100%),Union Hospital Tongji Medical College Huazhong University of Science and Technology (100%)
383,9,2.0,2.0,0.0,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Hunan University of Traditional Chinese Medicine,China,0.012998830105290524,90.95425856117399,Cardiovascular Medicine and Haematology (67%); Clinical Sciences (22%); Immunology (11%),Hunan University of Traditional Chinese Medicine (89%); Zhejiang Chinese Medical University (11%)
384,9,1.2222222222222223,1.0,0.0,Biomedical and Clinical Sciences,Clinical Sciences,Fujian Provincial Hospital,China,0.012998830105290524,90.96725739127928,Clinical Sciences (100%),Fujian Provincial Hospital (44%); Union Hospital (44%); Fujian Medical University (11%)
385,9,1.1111111111111112,1.0,100.0,Biomedical and Clinical Sciences,Clinical Sciences,South China University of Technology,China,0.012998830105290524,90.98025622138456,Clinical Sciences (100%),South China University of Technology (67%); Cleveland Clinic (11%); Guangzhou Medical University (11%)
