category,share_2014_%,share_2025_%,rank_2014,rank_2025,delta_pp,rank_change
Genetics,0.98,7.71,31,2,6.73,29
Human Genome,0.98,5.21,32,3,4.23,29
Prevention,4.01,7.85,7,1,3.84,6
Heart Disease,0.0,2.62,142,11,2.62,131
Cardiovascular,2.03,4.18,17,6,2.15,11
Aging,2.86,4.32,9,5,1.46,4
Women's Health,2.19,2.87,14,9,0.68,5
Neurosciences,5.06,3.16,4,7,-1.9,-3
Behavioral and Social Science,3.93,1.9,8,13,-2.03,-5
Brain Disorders,5.22,2.94,3,8,-2.28,-5
Nutrition,6.15,2.8,2,10,-3.35,-8
Clinical Research,12.21,4.55,1,4,-7.66,-3
