category,share_2014_%,share_2025_%,rank_2014,rank_2025,delta_pp,rank_change
Genetics,2.78,11.54,11,3,8.76,8
Epidemiology,8.33,16.39,3,2,8.06,1
Biological Psychology,0.0,6.15,33,5,6.15,28
Neurosciences,0.0,3.95,92,8,3.95,84
Statistics,0.0,2.17,112,12,2.17,100
Oncology and Carcinogenesis,2.78,4.31,13,7,1.53,6
Cardiovascular Medicine and Haematology,5.56,6.7,7,4,1.14,3
Clinical Sciences,19.44,18.43,2,1,-1.01,1
Ophthalmology and Optometry,5.56,1.91,8,13,-3.65,-5
Health Services and Systems,8.33,3.72,4,9,-4.61,-5
Nutrition and Dietetics,8.33,3.69,5,10,-4.64,-5
Public Health,25.0,5.78,1,6,-19.22,-5
